Lattice Semiconductor Corporation,1.44%
"Advanced Micro Devices, Inc.",1.40%
Realtek Semiconductor Corp,1.39%
LINE Corp.,1.38%
iRobot Corporation,1.35%
Nemetschek SE,1.35%
"Alteryx, Inc. Class A",1.33%
Stratasys Ltd.,1.28%
Cognex Corporation,1.27%
Sony Corporation,1.27%
"Amazon.com, Inc.",1.26%
"Intuitive Surgical, Inc.",1.25%
Apple Inc.,1.25%
QUALCOMM Incorporated,1.25%
Alphabet Inc. Class A,1.25%
Fanuc Corporation,1.24%
Dassault Systemes SA,1.23%
Microsoft Corporation,1.22%
"salesforce.com, inc.",1.22%
"Tableau Software, Inc. Class A",1.21%
AVEVA Group plc,1.21%
Cypress Semiconductor Corporation,1.20%
"Xilinx, Inc.",1.19%
Yandex NV Class A,1.19%
ELAN Microelectronics Corp.,1.19%
MicroStrategy Incorporated Class A,1.18%
"Pandora Media, Inc.",1.18%
Talend SA Sponsored ADR,1.18%
Adobe Systems Incorporated,1.18%
MinebeaMitsumi Inc.,1.18%
Global Unichip Corp.,1.17%
Lenovo Group Limited,1.17%
"AMETEK, Inc.",1.16%
"ANSYS, Inc.",1.15%
"Proto Labs, Inc.",1.15%
ATS Automation Tooling Systems Inc.,1.15%
Texas Instruments Incorporated,1.14%
MTS Systems Corporation,1.13%
International Business Machines Corporation,1.13%
"Autodesk, Inc.",1.13%
"Snap, Inc. Class A",1.12%
"j2 Global, Inc.",1.12%
NVIDIA Corporation,1.12%
Kakao M Corp.,1.11%
"Hortonworks, Inc.",1.11%
"Netflix, Inc.",1.10%
Parker-Hannifin Corporation,1.10%
"21Vianet Group, Inc. Sponsored ADR Class A",1.10%
"HubSpot, Inc.",1.10%
Microchip Technology Incorporated,1.08%
"Facebook, Inc. Class A",1.08%
Teradata Corporation,1.08%
Atos SE,1.07%
Mail.ru Group Ltd. Sponsored GDR,1.07%
"CEVA, Inc.",1.07%
3D Systems Corporation,1.07%
Nokia Oyj,1.06%
HTC Corporation,1.05%
Pegasystems Inc.,1.05%
"Hyundai Heavy Industries Holdings Co., Ltd.",1.05%
Mazor Robotics Ltd,1.04%
Intel Corporation,1.04%
"Ambarella, Inc.",1.04%
"Carbonite, Inc.",1.03%
STMicroelectronics NV,1.03%
"GREE, Inc.",1.03%
"Baidu, Inc. Sponsored ADR Class A",1.03%
Harmonic Drive Systems Inc.,1.02%
Alibaba Group Holding Ltd. Sponsored ADR,1.02%
"Samsung Electronics Co., Ltd.",1.02%
"Parade Technologies, Ltd.",1.02%
Infomart Corporation,1.02%
Kawasaki Heavy Industries Ltd.,1.01%
MaxLinear inc,1.00%
Moog Inc. Class A,0.99%
Splunk Inc.,0.99%
Yaskawa Electric Corporation,0.97%
"Cloudera, Inc.",0.97%
SINA Corp.,0.97%
"YY, Inc. Sponsored ADR Class A",0.96%
"Varonis Systems, Inc.",0.93%
Nidec Corporation,0.91%
Momo Inc Sponsored ADR Class A,0.90%
"Twitter, Inc.",0.90%
Durr AG,0.89%
Weibo Corp Sponsored ADR Class A,0.87%
HIWIN Technologies Corp.,0.85%
"Meitu, Inc",0.84%
SLM Solutions Group AG,0.83%
Tian Ge Interactive Holdings Ltd,0.81%
MUTUAL FUND (OTHER),0.10%
U.S. Dollar,0.07%
